coverage_state,eligible_field_expected,empty_partitions,expected_rth_minutes,is_early_close,minute_rows,no_trade_minutes,partitions_landed,period_role,securities_with_regular_hours_bars,session_date,signal_month,source,traded_minutes
MINUTE_LAYER_PRESENT,,0,390,False,2149200,354377,2985,WARMUP,2985,2024-08-01,,NEW_BULK_ACQUISITION,809773
MINUTE_LAYER_PRESENT,1508,0,390,False,2149200,351838,2985,WARMUP,2985,2024-08-02,,NEW_BULK_ACQUISITION,812312
MINUTE_LAYER_PRESENT,1532,0,390,False,2149200,339011,2985,WARMUP,2985,2024-08-05,,NEW_BULK_ACQUISITION,825139
MINUTE_LAYER_PRESENT,1572,0,390,False,2149200,365616,2985,WARMUP,2985,2024-08-06,,NEW_BULK_ACQUISITION,798534
MINUTE_LAYER_PRESENT,1460,0,390,False,2149200,371608,2985,WARMUP,2985,2024-08-07,,NEW_BULK_ACQUISITION,792542
MINUTE_LAYER_PRESENT,1440,0,390,False,2149200,373831,2985,WARMUP,2985,2024-08-08,,NEW_BULK_ACQUISITION,790319
MINUTE_LAYER_PRESENT,1392,0,390,False,2149200,387709,2985,WARMUP,2985,2024-08-09,,NEW_BULK_ACQUISITION,776441
MINUTE_LAYER_PRESENT,1335,0,390,False,2149200,377795,2985,WARMUP,2985,2024-08-12,,NEW_BULK_ACQUISITION,786355
MINUTE_LAYER_PRESENT,1333,0,390,False,2149200,370705,2985,WARMUP,2985,2024-08-13,,NEW_BULK_ACQUISITION,793445
MINUTE_LAYER_PRESENT,1341,0,390,False,2149200,377113,2985,WARMUP,2985,2024-08-14,,NEW_BULK_ACQUISITION,787037
MINUTE_LAYER_PRESENT,1303,0,390,False,2149200,358471,2985,WARMUP,2985,2024-08-15,,NEW_BULK_ACQUISITION,805679
MINUTE_LAYER_PRESENT,1354,0,390,False,2149200,363461,2985,WARMUP,2985,2024-08-16,,NEW_BULK_ACQUISITION,800689
MINUTE_LAYER_PRESENT,1323,0,390,False,2149200,359632,2985,WARMUP,2985,2024-08-19,,NEW_BULK_ACQUISITION,804518
MINUTE_LAYER_PRESENT,1329,0,390,False,2149200,364314,2985,WARMUP,2985,2024-08-20,,NEW_BULK_ACQUISITION,799836
MINUTE_LAYER_PRESENT,1265,0,390,False,2149200,365978,2985,WARMUP,2985,2024-08-21,,NEW_BULK_ACQUISITION,798172
MINUTE_LAYER_PRESENT,1256,0,390,False,2149200,377332,2985,WARMUP,2985,2024-08-22,,NEW_BULK_ACQUISITION,786818
MINUTE_LAYER_PRESENT,1227,0,390,False,2149200,352279,2985,WARMUP,2985,2024-08-23,,NEW_BULK_ACQUISITION,811871
MINUTE_LAYER_PRESENT,1338,0,390,False,2149200,361056,2985,WARMUP,2985,2024-08-26,,NEW_BULK_ACQUISITION,803094
MINUTE_LAYER_PRESENT,1277,0,390,False,2149200,373625,2985,WARMUP,2985,2024-08-27,,NEW_BULK_ACQUISITION,790525
