between_cohort_spearman,cohorts,cutoff,cuts_learned_on,feature,leading_on_is,missing,months,n,outcome,pooled_spearman,securities,split,t1_mean,t3_mean,t3_minus_t1_hit,t3_minus_t1_mean,tercile_cut_high,tercile_cut_low,within_cohort_cohorts,within_cohort_halves_positive_share,within_cohort_mean_spearman,within_cohort_top_half_minus_bottom_half
-0.18307692307692308,25,SIGNAL_CLOSE,IS,sc_ret1,False,0,6,200,oc_price_return_10,-0.04363835732332015,138,IS,0.10899858733012831,0.06832674936634629,0.020805065581185,-0.040671837963782015,0.045739910313901344,-0.0015182186234816708,25,0.52,-0.055238095238095246,0.003964584430861587
0.07936507936507936,27,SIGNAL_CLOSE,IS,sc_ret1,False,1,6,215,oc_price_return_10,-0.10398953366995405,152,OOS,0.12400440554392995,0.075066278680767,0.03491669620701876,-0.048938126863162956,0.045739910313901344,-0.0015182186234816708,27,0.4444444444444444,-0.10229276895943562,-0.017249158624427028
-0.040809357124562455,52,SIGNAL_CLOSE,IS,sc_ret1,False,1,12,415,oc_price_return_10,-0.07929162097804336,245,ALL,0.11769622718653562,0.07156590299033143,0.025576457808719755,-0.04613032419620419,0.045739910313901344,-0.0015182186234816708,52,0.4807692307692308,-0.07967032967032968,-0.0070502436939998085
-0.09692307692307692,25,SIGNAL_CLOSE,IS,sc_ret3,False,0,6,200,oc_price_return_10,0.04587564689117228,138,IS,0.06750447334326455,0.0987593032824055,0.03663500678426057,0.03125482993914094,0.22577140373750537,0.04163169380560694,25,0.6,0.03809523809523809,0.04094174928463894
0.3253968253968254,27,SIGNAL_CLOSE,IS,sc_ret3,False,1,6,215,oc_price_return_10,0.10890386147938853,152,OOS,0.05614763425965069,0.11568189994185178,0.16348055372445613,0.05953426568220109,0.22577140373750537,0.04163169380560694,27,0.5185185185185185,-0.007936507936507936,-0.008700285192834372
0.11892768718517886,52,SIGNAL_CLOSE,IS,sc_ret3,False,1,12,415,oc_price_return_10,0.07718021237039353,245,ALL,0.061212170607748764,0.1076406660682142,0.1041786467318383,0.04642849546046543,0.22577140373750537,0.04163169380560694,52,0.5576923076923077,0.014194139194139192,0.015166077536720102
0.011538461538461539,25,SIGNAL_CLOSE,IS,sc_ret5,False,0,6,200,oc_price_return_10,0.08151803795094878,138,IS,0.05722936337267653,0.07845875286130709,-0.008367254635911259,0.02122938948863056,0.49493333333333345,0.11557512383048962,25,0.6,0.08095238095238094,0.027362922895353314
0.37545787545787546,27,SIGNAL_CLOSE,IS,sc_ret5,False,1,6,215,oc_price_return_10,0.0819387089763095,152,OOS,0.05176305237843046,0.10992086913337273,0.1680952380952382,0.058157816754942276,0.49493333333333345,0.11557512383048962,27,0.5555555555555556,0.04982363315696649,0.04572451603475563
0.1891061214035687,52,SIGNAL_CLOSE,IS,sc_ret5,False,1,12,415,oc_price_return_10,0.08439233876947341,245,ALL,0.05416822921589873,0.09507606779373612,0.08638497652582156,0.04090783857783739,0.49493333333333345,0.11557512383048962,52,0.5769230769230769,0.06478937728937728,0.03689682702542759
0.21153846153846154,25,SIGNAL_CLOSE,IS,sc_ret10,False,0,6,200,oc_price_return_10,0.2732843321083027,138,IS,0.004873945247973926,0.15376269893612776,0.21732247851650838,0.14888875368815382,1.027694929697486,0.4416403785488958,25,0.6,0.21714285714285714,0.058751166975114864
