config,config_name,footnote,month,month_end_equity,monthly_pnl,monthly_return_pct,prior_month_end_equity,reporting_standard,view
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2025-09,103734.77,3734.77,3.7348,100000.0,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2025-10,118160.45,14425.68,13.9063,103734.77,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2025-11,133125.73,14965.28,12.6652,118160.45,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2025-12,118781.68,-14344.05,-10.7748,133125.73,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-01,134140.48,15358.8,12.9303,118781.68,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-02,131387.3,-2753.18,-2.0525,134140.48,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-03,153466.9,22079.6,16.805,131387.3,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-04,154547.36,1080.46,0.704,153466.9,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-05,169288.22,14740.86,9.5381,154547.36,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-06,248942.86,79654.64,47.0527,169288.22,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-07,285462.55,36519.69,14.6699,248942.86,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-08,330719.74,45257.19,15.854,285462.55,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2025-09,103702.06,3702.06,3.7021,100000.0,cg_lab_monthly_account_reporting_v1,FIXED_DOLLAR
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2025-10,117977.72,14275.66,13.766,103702.06,cg_lab_monthly_account_reporting_v1,FIXED_DOLLAR
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2025-11,130182.95,12205.23,10.3454,117977.72,cg_lab_monthly_account_reporting_v1,FIXED_DOLLAR
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2025-12,119279.99,-10902.96,-8.3751,130182.95,cg_lab_monthly_account_reporting_v1,FIXED_DOLLAR
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-01,132007.73,12727.74,10.6705,119279.99,cg_lab_monthly_account_reporting_v1,FIXED_DOLLAR
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-02,131092.57,-915.16,-0.6933,132007.73,cg_lab_monthly_account_reporting_v1,FIXED_DOLLAR
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-03,147531.5,16438.93,12.5399,131092.57,cg_lab_monthly_account_reporting_v1,FIXED_DOLLAR
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-04,148379.94,848.44,0.5751,147531.5,cg_lab_monthly_account_reporting_v1,FIXED_DOLLAR
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-05,157229.89,8849.95,5.9644,148379.94,cg_lab_monthly_account_reporting_v1,FIXED_DOLLAR
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-06,199060.18,41830.29,26.6045,157229.89,cg_lab_monthly_account_reporting_v1,FIXED_DOLLAR
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-07,213915.58,14855.4,7.4628,199060.18,cg_lab_monthly_account_reporting_v1,FIXED_DOLLAR
C0,Incumbent Momentum+Volume R5,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-08,228986.4,15070.82,7.0452,213915.58,cg_lab_monthly_account_reporting_v1,FIXED_DOLLAR
C1,Rank-one 1.50x reallocation,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2025-09,105506.19,5506.19,5.5062,100000.0,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C1,Rank-one 1.50x reallocation,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2025-10,122623.86,17117.67,16.2243,105506.19,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C1,Rank-one 1.50x reallocation,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2025-11,138412.28,15788.42,12.8755,122623.86,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C1,Rank-one 1.50x reallocation,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2025-12,120980.85,-17431.43,-12.5938,138412.28,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C1,Rank-one 1.50x reallocation,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-01,144186.7,23205.85,19.1814,120980.85,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C1,Rank-one 1.50x reallocation,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-02,138653.85,-5532.85,-3.8373,144186.7,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C1,Rank-one 1.50x reallocation,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-03,169755.03,31101.18,22.4308,138653.85,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C1,Rank-one 1.50x reallocation,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-04,173577.79,3822.76,2.2519,169755.03,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C1,Rank-one 1.50x reallocation,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-05,198142.35,24564.56,14.1519,173577.79,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C1,Rank-one 1.50x reallocation,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-06,303616.32,105473.97,53.2314,198142.35,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C1,Rank-one 1.50x reallocation,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-07,358831.15,55214.83,18.1857,303616.32,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C1,Rank-one 1.50x reallocation,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2026-08,437801.45,78970.3,22.0076,358831.15,cg_lab_monthly_account_reporting_v1,EQUITY_SCALED
C1,Rank-one 1.50x reallocation,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",2025-09,105430.19,5430.19,5.4302,100000.0,cg_lab_monthly_account_reporting_v1,FIXED_DOLLAR
